,train_loss,train_acc,test_loss,test_acc
1,1.9854491077041625,0.2785,1.7671409606933595,0.3553
2,1.7710348944091796,0.36292,1.681057713317871,0.4069
3,1.7015570559692383,0.3913,1.6082423244476318,0.4274
4,1.6622742678451539,0.40238,1.5752531267166137,0.4452
5,1.6279366680145264,0.41554,1.5520192068099976,0.4448
6,1.5978940172576905,0.42672,1.5416402526855468,0.4429
7,1.5716651836776734,0.4351,1.5324565952301026,0.4601
8,1.5543545525360107,0.44374,1.531809027862549,0.4636
9,1.5387964113235473,0.4466,1.4661206148147583,0.4815
10,1.5098321576690674,0.45624,1.472438144683838,0.474
11,1.4984347415542603,0.46224,1.4731738578796387,0.4763
12,1.4883669601821898,0.4669,1.4500103395462036,0.4807
13,1.474698575668335,0.46984,1.4227143356323242,0.4938
14,1.4572711614227294,0.47754,1.4326946933746338,0.4912
15,1.4494851496505736,0.47958,1.452575015258789,0.4879
16,1.4372935007476806,0.48148,1.4416640411376953,0.4903
17,1.4273556098937987,0.48888,1.4056729780197144,0.5
18,1.4169666339492797,0.49262,1.4094479572296144,0.4965
19,1.4104874409103394,0.49524,1.3970886209487916,0.5028
20,1.3981462125015258,0.4956,1.3977536909103394,0.5049
21,1.3858983040618897,0.50404,1.3892065685272217,0.5091
22,1.3838377724456787,0.50178,1.3696706108093262,0.5121
23,1.3746636716079712,0.50676,1.3848849391937257,0.5083
24,1.373295471496582,0.50448,1.373596749305725,0.5065
25,1.3608968259429932,0.51254,1.3860800035476684,0.5139
26,1.3724385162353516,0.50306,1.357885110473633,0.5143
27,1.3388982678985595,0.51686,1.37761088180542,0.507
28,1.3479291262435913,0.51414,1.3825666841506958,0.5073
29,1.345086226196289,0.5148,1.3449344276428223,0.5201
30,1.3337432202529906,0.52236,1.3457807006835938,0.5217
31,1.3187481621551513,0.52484,1.341930152130127,0.5237
32,1.3131541431427003,0.5302,1.3690034801483155,0.5134
33,1.3113887511062623,0.52784,1.360320738220215,0.5173
34,1.3093568677520753,0.52796,1.3514396915435791,0.5194
35,1.294478316116333,0.53492,1.3685689163208008,0.5105
36,1.2877863708114623,0.53634,1.3828663177490235,0.5095
37,1.2959934565353393,0.53138,1.3179020435333253,0.5294
38,1.2839460150146484,0.53534,1.348919932937622,0.5192
39,1.2777487084579469,0.53906,1.3182542274475098,0.5361
40,1.271413122253418,0.5398,1.349054683303833,0.5168
41,1.2611990833282472,0.54402,1.3405175819396973,0.5296
42,1.2545126557922364,0.54838,1.3152402923583983,0.5344
43,1.253235682144165,0.54914,1.3411832820892333,0.5222
44,1.2521122778320313,0.54604,1.3186217468261718,0.5348
45,1.2502206111526488,0.54948,1.3121716934204102,0.5358
46,1.231647049255371,0.55416,1.337068522644043,0.5238
47,1.2408646869277955,0.5551,1.3105678649902344,0.5363
48,1.235752533569336,0.55268,1.3076085958480834,0.5319
49,1.23478513671875,0.55368,1.3541203731536866,0.5148
50,1.2288086164093017,0.55704,1.302979861831665,0.5347
