,train_loss,train_acc,test_loss,test_acc
1,1.3319396310615539,0.5167,1.097407075691223,0.618
2,0.8945274763870239,0.68538,0.833856255531311,0.7154
3,0.7493947735404968,0.74116,0.707096541595459,0.7506
4,0.6519065132331848,0.77518,0.723809525680542,0.7502
5,0.5857415351867675,0.7967,0.643220774269104,0.7706
6,0.5330869374084473,0.81542,0.6319991620063782,0.7798
7,0.48606807921409606,0.8327,0.570823318862915,0.8024
8,0.44445838280677796,0.84936,0.6193170476913452,0.7891
9,0.4034171229934692,0.86148,0.6903502336502075,0.7798
10,0.3821117822933197,0.8689,0.5268578385353089,0.8165
11,0.348646441450119,0.87928,0.59457149477005,0.8077
12,0.3280067757987976,0.88668,0.6056207179069519,0.803
13,0.30471749777793883,0.89404,0.5039218828201294,0.8296
14,0.28167587313652037,0.90322,0.5585561988830566,0.809
15,0.2584350825738907,0.90976,0.5996776704788208,0.8123
16,0.24350779810905457,0.91656,0.5218630134105683,0.8267
17,0.23079741512298585,0.92028,0.5646175554275513,0.823
18,0.21067511404037476,0.92698,0.5700805585861206,0.8205
19,0.1967516157245636,0.93292,0.5884746265411377,0.8196
20,0.19747973491668702,0.93158,0.6523881340026856,0.8066
21,0.1762289825439453,0.9384,0.7081282039642334,0.7977
22,0.16942556147575377,0.9413,0.6075717604637146,0.8218
23,0.15854436980247497,0.94476,0.6077982025146484,0.8271
